name,text
Ekaterina Artamonova,"Всем привет! Анонсируем чатик для участников курса по компиляторам :) 

https://t.me/+2jWS4SOKoHA4MWNi

Напоминаю, что курс у нас будет сначала очно, занятия пройдут с 31 января по 9 февраля (включительно). А потом продолжим онлайн. 

Вступайте в чатик сегодня до 23:59, а в пятницу устраиваем перекличку и регистрацию с попаданием в ведомость, чтобы собрать дополнительные сведения о вас!

#важное"
Natalia Kitaeva,"#важное 
При необходимости вы можете уехать и вернуться сюда до 1 февраля. Для студ визы потребуется повторная биометрия в Никосии 🙃
С 1 февраля до сдачи биометрии вы должны присутствовать тут."
Natalia Kitaeva,"#важное 
Приходите в 15.15 на ресепшн пообщаться с Андреем Сергеевичем Станкевичем!"
Владик,"#важное
новые аккаунты мудл будут рассылаться до понедельника"
Ekaterina Artamonova,"#важное 

Ребята, команда курсов по Семантике и Компиляторам решили, что правильнее будет восполнить пробел в ваших знаниях по функциональному программированию. 

Поэтому на будущей неделе будет внеплановый ликбез! 

Приходить надо всем кто, записан на семантику и компиляторы, другим студентам тоже очень желательно (если у вас не было аналогичного курса ранее) :) 

Предварительное расписание совпадает с расписанием семантики на будущей неделе: 
23 января 15:15-16:45
24 января 12:00-15:00
27 января 12:00-15:00

Место встречи – уточняется, но предварительно это ilab :) 

Чатик, вступайте все, кто планирует приходить: 
https://t.me/+pXvmg4XH8J9mMGEy"
Svetlana Ru,"#важное  
 📍Дайджест за неделю 23/01

✔️Прошли первые пары по всем предметам! 

✔️Вам должны придти новые учетки для доступа в мудл. Проверьте свои курсы и поменяйте при необходимости. Помните, что группы не должны быть менее 10 человек! Скоро запустим опрос, чтобы понять, у кого какие курсы

✔️Последняя неделя, чтобы закончить допкурсы, которые вы брали до 1 февраля! Про это тоже спросим

✔️Случился внезапный курс по Функциональному программированию, если вы еще не в чате, то скорее https://t.me/+pXvmg4XH8J9mMGEy

✔️На этой неделе анонсируем последний курс Осеннего семестра - Теорию категорий

✔️Завтрашняя пара по  С++ пройдет пока в том же формате, но дальше, скорее всего, получится переформатировать

✔️Заметка: если на паре чего-то не хватает, то обратитесь на ресепшен. Например, в  Ilab нам помыли доску и заказали кабель HDMI."
Ekaterina Artamonova,"Ребята, внеплановый анонс проекта :) 

Описание 
Руководитель: Тимофей Брыксин, JetBrains Research, Machine Learning for Software Engineering Lab

Если заинтересовались задачей и хотите поучаствовать – заполняйте вот такую форму до 26 января 23:59 cet.   

Мотивация участвовать – это позаниматься реальной задачей в хорошей команде, заложить фундамент для возможной летней стажировки и просто обогатиться знаниями. 

Будет ли тестовое или сразу собеседования – разберемся после сбора заявок)

#важное"
Svetlana Ru,"Так, и про отъезд
Все также прошу вас отмечаться в ноушн

И по пропускам занятий в связи с отъездом: Саввас подтвердил, что надо подходить и разговаривать с Марией в 239
Подчеркните, что именно по пропускам

Мария в курсе, я поговорила с ней
Возможно, надо будет предоставить билеты

#важное"
Albina Nurtdinova,"Всем привет! 
Ребята, приближается дедлайн по курсам, которые мы запускали для самостоятельного изучения до начала семестра в ноябре.
Напомним, что необходимо было пройти не менее двух предложенных курсов (курс можно было заменить хорошим практическим треком на Hyperskill).

Мы просим вас заполнить небольшую форму и поделиться своими результатами: https://forms.gle/xhJBHgzNuCpEkPKU6
Заполните форму, пожалуйста, до 2 февраля. Если даже что-то не получилось, заполните форму обязательно. 

По итогом этой формы мы свяжемся лично в телеграм со всеми, у кого возникли проблемы с выполнением правила — прохождение не менее двух курсов/треков. 

Хорошего вечера!

#важное"
Albina Nurtdinova,"Привет всем! 

Ребята, анонсируем курс по теории категорий:)
Курс будет проходить онлайн, в Zoom по средам с 18:15 до 21:30 по Кипру, первое занятие по плану 8-го февраля. 

Подробнее о курсе можно прочитать в Notion: https://jetbrainsacademy.notion.site/ategory-Theory-f47fae10f27f4feba463d673a8e6f3f0

Вступайте в чатик курса: https://t.me/+uP9DsaFQ7lFmYzcy

#важное"
Svetlana Ru,"Чтобы не потерялось, вот все курсы по чатикам JetBrains Осеннего семестра:

📍Программирование на С++ 
📍Математический анализ 
📍Семантика языков программирования  
📍Языки программирование и компиляторы 
📍Теория категорий 

 📌Чат ICPC (спортивное программирование)

#важное"
Ekaterina Artamonova,"Привет! 

Ребята, в этом году мы решили попробовать новый формат курсов и устроить серию докладов от сотрудников компании на всякие около девелоперские темы.

Расписание, описания, ссылки

Надеемся, что каждый для себя найдёт интересные темы и время посетить доклады. Все они будут онлайн, на некоторых будут предложены домашки с реальным фидбеком.

#важное"
